id;vehicle_id;vehicle_reg_no;device_id;owner_id
1;SMS Shoes;Vision-oriented;Operative 1080p;1
2;Garden;Avon Account Bacon;relationships Bedfordshire Chips;2
3;invoice backing;index Architect JSON;Riyal programming;3
4;Investment Avon parsing;efficient Licensed;navigating Moldova Georgia;4
5;JSON Carolina;Arkansas Small Bacon;definition Optional Arizona;5
6;Mouse Pizza Drive;copying;systemic;6
7;analyzing Dynamic ROI;Fish applications red;parsing Knoll Ecuador;7
8;black matrices cultivate;auxiliary virtual;Decentralized override;8
9;Multi-channelled Metal interface;Berkshire GB USB;Re-engineered Unbranded Practical;9
10;Borders haptic;24/365;Lead Prairie;10
